id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
file_drv_032,doc_12.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,9600,2026-04-08T20:00:00Z,2026-04-08T20:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_032/view
file_drv_033,doc_13.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8400,2025-12-19T22:00:00Z,2025-12-19T22:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_033/view
file_drv_034,doc_14.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,7600,2025-09-01T09:00:00Z,2025-09-01T09:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_034/view
file_drv_035,doc_15.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8400,2026-03-12T14:00:00Z,2026-03-12T14:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_035/view
file_drv_036,doc_16.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,9400,2024-03-15T21:00:00Z,2024-03-15T21:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_036/view
file_drv_037,doc_17.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,9200,2025-08-18T14:00:00Z,2025-08-18T14:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_037/view
file_drv_038,doc_19.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8800,2026-04-04T16:00:00Z,2026-04-04T16:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_038/view
file_drv_039,doc_20.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder_root,8200,2026-05-22T18:00:00Z,2026-05-22T18:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_039/view
file_drv_040,img_01.jpg,image/jpeg,folder_root,69531,2026-05-30T20:00:00Z,2026-05-30T20:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_040/view
file_drv_041,img_02.jpg,image/jpeg,folder_root,101260,2026-05-16T07:14:00Z,2026-05-16T07:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_041/view
file_drv_042,img_03.jpg,image/jpeg,folder_root,45311,2026-02-14T19:00:00Z,2026-02-14T19:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_042/view
file_drv_043,img_04.jpg,image/jpeg,folder_root,73653,2025-10-22T19:48:00Z,2025-10-22T19:48:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_043/view
file_drv_044,img_05.jpg,image/jpeg,folder_root,163454,2025-12-13T11:00:00Z,2025-12-13T11:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_044/view
file_drv_045,img_06.jpg,image/jpeg,folder_root,95578,2025-10-26T15:00:00Z,2025-10-26T15:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_045/view
file_drv_046,img_08.jpg,image/jpeg,folder_root,109684,2025-09-15T17:00:00Z,2025-09-15T17:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_046/view
file_drv_047,img_09.jpg,image/jpeg,folder_root,48198,2026-05-30T07:14:00Z,2026-05-30T07:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_047/view
file_drv_048,img_10.jpg,image/jpeg,folder_root,74721,2025-08-22T18:00:00Z,2025-08-22T18:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_048/view
file_drv_049,img_11.jpg,image/jpeg,folder_root,35266,2026-02-17T15:14:00Z,2026-02-17T15:14:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_049/view
file_drv_050,img_12.jpg,image/jpeg,folder_root,74721,2026-05-27T08:00:00Z,2026-05-27T08:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_050/view
file_drv_051,data_01.csv,text/csv,folder_root,787,2026-05-30T22:00:00Z,2026-05-30T22:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_051/view
file_drv_052,data_03.csv,text/csv,folder_root,568,2026-05-12T20:00:00Z,2026-05-12T20:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_052/view
file_drv_053,data_04.csv,text/csv,folder_root,678,2026-05-19T21:00:00Z,2026-05-19T21:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_053/view
file_drv_054,data_05.csv,text/csv,folder_root,395,2026-05-22T17:00:00Z,2026-05-22T17:00:00Z,andrea.kaminski@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_drv_054/view
